Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-20120010,Brian,Walters,1,Michigan,Warren,Bachelor,15/09/2001,2023-08-14,,Sales,Sales Representative,63789,3
00-14186818,Sheryl,Jones,1,New York,New York City,Bachelor,24/10/1980,2023-12-12,,Operations,Inventory Specialist,64063,3
00-89193333,James,Wilson,0,New York,New York City,Bachelor,6/7/1995,2017-09-22,,Operations,Inventory Specialist,58347,2
00-44979330,Patrick,Evans,0,New York,New York City,Bachelor,25/11/1974,2020-01-21,,IT,IT Support Specialist,65040,2
00-97766064,Monica,Hernandez,1,New York,New York City,Bachelor,5/10/1980,2023-03-19,,Finance,Accountant,65501,3
00-39971710,Matthew,Benitez,1,New York,New York City,Bachelor,26/03/1978,2023-12-13,,Marketing,Content Creator,67062,3
00-49057246,Rebecca,Ellis,0,West Virginia,Charleston,Bachelor,9/5/1978,2017-05-03,,Operations,Inventory Specialist,64109,3
00-22153955,Michelle,White,1,New York,New York City,Bachelor,17/12/1998,2019-02-01,,Finance,Accountant,73387,3
00-98943201,Tony,Welch,1,North Carolina,Raleigh,Bachelor,26/02/1975,2017-03-10,,Marketing,Marketing Manager,95196,4
00-32259144,Lawrence,Brown,1,Virginia,Norfolk,Bachelor,17/02/2003,2022-06-25,,Customer Service,Support Specialist,66634,3
00-31370471,Joshua,Juarez,0,Ohio,Cleveland,High School,7/5/1982,2017-03-07,,Customer Service,Help Desk Technician,73228,1
00-29622504,Barbara,Moore,1,Michigan,Detroit,Master,24/02/1990,2022-11-01,,Sales,Sales Consultant,92564,4
00-15425057,Kathryn,Miller,1,New York,New York City,Bachelor,29/01/1964,2017-08-27,,Finance,Accounts Payable Specialist,75024,3
00-18437082,Ryan,Jordan,0,New York,New York City,High School,17/06/1973,2017-06-16,,Customer Service,Support Specialist,59211,1
00-99736040,Tammy,Reyes,1,New York,New York City,Bachelor,21/12/2000,2017-01-15,,Customer Service,Help Desk Technician,66176,3
00-73038607,Amanda,Cross,1,New York,New York City,Master,30/04/1999,2024-01-06,,IT,Software Developer,82139,3
00-97043518,Patricia,Sherman,0,Virginia,Norfolk,Bachelor,12/6/1977,2018-07-26,,HR,HR Coordinator,60465,2
00-95035920,James,Rhodes,1,Ohio,Cleveland,Bachelor,17/08/1978,2023-09-01,,Operations,Logistics Coordinator,73345,3
00-87662596,Jessica,Perez,1,New York,New York City,Bachelor,14/12/1994,2020-12-06,,Operations,Inventory Specialist,61933,3
00-97734815,Maxwell,Anderson,1,New York,New York City,Bachelor,4/3/1984,2018-05-29,,Operations,Logistics Coordinator,67976,3
00-20447168,Wesley,Torres,0,Illinois,Chicago,Bachelor,8/12/1998,2020-01-26,,Operations,Logistics Coordinator,53883,3
00-79306247,Madison,Evans,1,Michigan,Warren,High School,4/1/1997,2019-04-23,,Marketing,Content Creator,60339,1
00-74707720,Stephen,Meyer,1,New York,New York City,Bachelor,28/01/1972,2023-07-23,,IT,IT Support Specialist,64721,2
00-28652010,Matthew,Barron,0,North Carolina,Charlotte,High School,15/03/1973,2019-02-21,,HR,Recruiter,66147,1
00-79060560,Matthew,Valenzuela,0,Michigan,Grand Rapids,Master,3/3/1985,2021-05-20,,Finance,Financial Analyst,85159,4
00-35086055,Karen,Martin,0,New York,New York City,Bachelor,6/3/1994,2017-12-19,,Operations,Logistics Coordinator,60043,3
00-25882013,Samantha,Powell,1,New York,New York City,Bachelor,7/6/2002,2022-03-30,,Operations,Operations Analyst,74380,4
00-54322017,Jeffrey,Mercer,0,New York,New York City,Bachelor,13/09/1989,2022-03-24,,Sales,Sales Representative,71212,3
00-74265413,Jessica,Lawrence,0,New York,New York City,Bachelor,1/9/1998,2019-03-07,,Operations,Logistics Coordinator,60013,4
00-96873663,David,Dawson,1,New York,New York City,High School,27/01/2003,2023-11-04,,IT,IT Support Specialist,60731,1
00-15790734,Benjamin,Mcdowell,0,Michigan,Warren,Bachelor,20/06/2003,2016-04-09,,Operations,Inventory Specialist,56496,3
00-28082355,Kelsey,Dean,1,New York,New York City,Bachelor,17/06/1986,2021-08-19,,Sales,Sales Representative,77601,2
00-29711900,Virginia,Stanley,0,Michigan,Grand Rapids,High School,11/9/1981,2016-09-10,,Marketing,Content Creator,55025,1
00-79342339,Mary,Williams,0,New York,New York City,Bachelor,17/06/1974,2024-02-14,,IT,Software Developer,75914,3
00-95580271,Robert,James,0,New York,New York City,Bachelor,7/9/1972,2015-08-01,,Customer Service,Support Specialist,59140,4
00-98817918,Johnny,Miles,1,New York,New York City,Master,26/08/1997,2023-03-21,,IT,System Administrator,69922,4
00-70291054,Heather,Mccoy,1,New York,New York City,High School,18/06/1974,2021-04-27,,Operations,Inventory Specialist,64711,4
00-74648438,Robert,Garcia,0,Ohio,Cincinnati,Bachelor,7/10/2002,2017-07-22,,Operations,Inventory Specialist,55979,3
00-29154498,Joseph,Obrien,0,Ohio,Cleveland,Bachelor,29/10/2003,2023-02-23,,Operations,Operations Manager,101925,2
00-98536556,Robert,Roach,0,New York,New York City,Bachelor,21/10/1971,2020-07-17,,Operations,Logistics Coordinator,62020,3
00-55992559,Jennifer,Wilson,0,New York,New York City,Bachelor,6/5/1968,2024-02-14,,Marketing,Marketing Coordinator,58745,4
00-19239937,Kristen,Jimenez,1,New York,New York City,Master,8/12/1984,2017-08-25,,IT,System Administrator,63958,4
00-24572034,James,Baker,0,West Virginia,Morgantown,Bachelor,4/10/1996,2015-07-23,,Customer Service,Help Desk Technician,79657,3
00-77693989,Teresa,Howard,0,New York,New York City,Bachelor,23/06/1999,2022-06-09,,IT,Software Developer,74976,2
00-22924976,Kenneth,Williams,0,Michigan,Detroit,High School,15/02/1999,2017-07-12,,Customer Service,Customer Service Representative,56366,1
00-15239398,Renee,Watts,0,New York,New York City,Bachelor,15/08/1999,2023-07-06,,Sales,Sales Consultant,64551,3
00-25772785,Mark,Smith,0,New York,New York City,Master,13/04/1983,2016-09-17,,Finance,Financial Analyst,82996,3
00-90996996,Christopher,Rodriguez,1,New York,New York City,Master,30/09/1977,2020-08-10,,Sales,Sales Consultant,97280,4
00-97138408,Elizabeth,Hernandez,1,New York,New York City,High School,7/8/1992,2019-02-04,,Operations,Inventory Specialist,64326,1
00-15830187,Kimberly,Jones,0,New York,New York City,Bachelor,13/12/1988,2022-10-09,,Marketing,Marketing Coordinator,63722,3
00-74709513,Craig,Scott,1,Michigan,Warren,High School,26/01/1986,2023-03-31,,Customer Service,Customer Service Representative,58909,1
00-89060695,Stephen,Madden,0,Michigan,Detroit,Bachelor,3/2/1977,2023-04-13,,Operations,Logistics Coordinator,60206,4
00-23115341,Steven,Garcia,0,New York,New York City,Bachelor,4/7/1973,2019-03-09,,Customer Service,Customer Service Representative,60869,3
00-41207351,Morgan,Phelps,1,New York,New York City,Bachelor,8/9/1986,2024-05-19,,IT,System Administrator,74988,2
00-90301439,Laurie,Edwards,0,New York,New York City,Bachelor,11/12/1995,2023-10-14,,Customer Service,Customer Service Representative,58212,3
00-35369971,Darrell,York,0,New York,New York City,Bachelor,30/01/1972,2015-12-12,,IT,IT Support Specialist,58172,3
00-10954835,Brandon,Christian,1,New York,New York City,High School,17/08/1988,2020-09-14,,Customer Service,Help Desk Technician,59535,1
00-10965569,Deborah,Murphy,1,North Carolina,Greensboro,Bachelor,26/11/1990,2018-12-14,,Operations,Inventory Specialist,67221,3
00-52399610,Samuel,Howell,0,New York,New York City,High School,22/09/2000,2019-12-08,,Customer Service,Support Specialist,56074,1
00-67186360,Jessica,Watson,1,Pennsylvania,Allentown,Bachelor,18/11/1991,2022-05-14,,Sales,Sales Representative,81645,1
00-81954780,Ian,Morales,0,New York,New York City,Bachelor,26/09/1970,2019-06-27,,Customer Service,Support Specialist,58632,4
00-37339300,Timothy,Fisher,1,New York,New York City,Bachelor,7/12/1971,2019-12-11,,Sales,Sales Representative,78294,3
00-33987338,Laura,Wilson,1,New York,New York City,PhD,13/06/1973,2018-09-28,,Sales,Sales Consultant,75034,4
00-63436070,Erik,Perry,0,New York,New York City,Bachelor,10/6/1999,2022-08-18,,Customer Service,Help Desk Technician,59529,2
00-40839382,Timothy,Carroll,1,New York,New York City,Master,22/01/1997,2019-06-20,,IT,Software Developer,75642,3
00-23459168,Howard,James,1,New York,New York City,PhD,28/01/1992,2017-05-20,,Sales,Sales Consultant,76695,4
00-55424358,Cheryl,Huffman,1,New York,New York City,Bachelor,29/05/1972,2023-12-08,,Sales,Sales Representative,66958,3
00-16986408,Mary,Mcpherson,0,New York,New York City,Bachelor,4/7/2000,2017-02-20,,Sales,Sales Representative,63747,3
00-22225702,Timothy,Freeman,0,Michigan,Grand Rapids,Bachelor,18/05/1991,2023-12-11,,IT,IT Support Specialist,60048,2
00-68435370,Robert,Williams,0,New York,New York City,Bachelor,28/10/1993,2016-04-11,,Customer Service,Customer Service Representative,55015,2
00-59772648,Diana,Smith,1,New York,New York City,Master,11/12/2001,2016-12-03,,Operations,Operations Analyst,79911,3
00-61583363,Erica,Saunders,1,New York,New York City,Bachelor,20/05/1980,2024-08-11,,Sales,Sales Specialist,87716,2
00-98070348,Jennifer,Walker,0,Michigan,Detroit,Bachelor,25/09/1984,2020-09-17,,IT,IT Support Specialist,54841,2
00-17712557,Morgan,Stone,1,New York,New York City,Bachelor,20/10/1980,2024-09-24,,Finance,Accounts Payable Specialist,67807,2
00-76353000,Jackie,Davis,1,New York,New York City,Master,11/9/1992,2019-09-14,,IT,Software Developer,100863,4
00-98165507,Jessica,Olson,1,New York,New York City,High School,14/11/1961,2024-09-14,,Customer Service,Support Specialist,62271,4
00-36138432,Erica,Cruz,0,Michigan,Warren,High School,6/7/1977,2015-11-22,,IT,IT Support Specialist,52507,1
00-79231333,Margaret,Mcclain,1,Pennsylvania,Pittsburgh,High School,30/11/1997,2022-08-27,,Customer Service,Customer Service Representative,65332,1
00-14840043,Brian,Schneider,0,New York,New York City,Bachelor,15/04/1992,2018-03-02,,Customer Service,Support Specialist,56253,2
00-31131878,William,Harrison,0,New York,New York City,High School,6/4/1971,2016-07-11,,Customer Service,Customer Service Representative,59493,1
00-63611082,Molly,Jones,1,New York,New York City,High School,16/11/1993,2018-07-10,,IT,IT Support Specialist,65495,1
00-88662348,Malik,Rivera,0,New York,New York City,Bachelor,24/12/1985,2017-04-19,,Sales,Sales Representative,57107,3
00-19209640,Brent,Walker,1,New York,New York City,Bachelor,3/9/1985,2024-09-06,,IT,System Administrator,103021,3
00-85042992,Nicholas,Montoya,1,New York,New York City,Bachelor,8/6/2001,2024-01-31,,Customer Service,Help Desk Technician,71125,4
00-47112255,Stephen,Solis,1,New York,New York City,High School,29/06/1964,2017-06-24,,Customer Service,Support Specialist,68008,1
00-64218119,Christopher,Jimenez,0,New York,New York City,Bachelor,19/05/1980,2020-05-02,,Operations,Inventory Specialist,57939,2
00-64644684,David,Jimenez,0,New York,New York City,Bachelor,16/01/1964,2020-09-10,,Marketing,SEO Specialist,85783,3
00-77534222,Andrew,Powell,1,Michigan,Warren,High School,8/6/2001,2017-01-14,,IT,IT Support Specialist,61924,1
00-78892172,Angela,Smith,0,New York,New York City,Bachelor,24/07/1975,2024-02-05,,Operations,Logistics Coordinator,61590,2
00-87160950,Latoya,Richmond,1,New York,New York City,Bachelor,4/5/1984,2017-09-05,,Sales,Sales Representative,61476,2
00-85587210,Kevin,Romero,1,Pennsylvania,Allentown,Bachelor,20/11/1986,2019-03-22,,IT,Software Developer,92536,4
00-55588495,Diamond,Bryant,1,New York,New York City,Bachelor,26/03/1980,2024-05-12,,Operations,Inventory Specialist,68948,1
00-71836850,Michael,Brown,0,North Carolina,Charlotte,Master,14/05/1971,2023-03-28,,IT,IT Manager,132590,3
00-25605267,Megan,Rivera,0,New York,New York City,Bachelor,4/2/1993,2017-10-26,,IT,IT Support Specialist,54909,2
00-39579214,Christine,Kennedy,0,New York,New York City,Bachelor,3/7/1991,2022-09-13,,Marketing,Marketing Coordinator,69825,3
00-52376656,Michael,Chavez,1,New York,New York City,High School,29/10/1969,2019-02-07,,Marketing,SEO Specialist,81099,1
00-81893982,Katherine,Walker,1,North Carolina,Charlotte,Bachelor,7/5/1984,2015-05-13,,Operations,Logistics Coordinator,69769,3
00-48559355,Michael,Schultz,1,New York,New York City,Bachelor,15/01/1975,2016-11-06,,Customer Service,Help Desk Technician,81877,3
00-55901507,Kelly,Boyd,0,New York,New York City,Bachelor,15/12/1985,2016-09-29,,IT,IT Support Specialist,57483,3
00-52127291,Daniel,Prince,1,Michigan,Detroit,Master,18/02/1989,2018-07-11,,HR,HR Coordinator,61569,4
00-76974557,Robert,King,1,North Carolina,Charlotte,High School,30/01/1980,2022-03-18,,Operations,Inventory Specialist,65171,1
00-42488275,Jacob,Conrad,0,New York,New York City,Bachelor,22/02/1995,2023-06-02,,Operations,Logistics Coordinator,57344,2
00-37214866,Jason,Summers,1,New York,New York City,High School,12/8/1969,2023-03-16,,Customer Service,Help Desk Technician,82481,1
00-30937370,Jennifer,Rodriguez,1,New York,New York City,Bachelor,28/11/1985,2023-06-10,,Customer Service,Help Desk Technician,58551,2
00-99043272,Brandon,Schultz,0,New York,New York City,High School,21/02/1992,2020-09-18,,Operations,Inventory Specialist,55948,1
00-82675403,Brianna,Barton,0,New York,New York City,PhD,3/7/1988,2024-06-23,,Finance,Financial Analyst,77729,4
00-93304578,Stephen,Lawrence,0,New York,New York City,Bachelor,10/11/1992,2018-07-15,,Finance,Accounts Payable Specialist,56649,3
00-46874043,Dennis,Porter,1,New York,New York City,Master,30/06/1983,2020-07-24,,Sales,Sales Specialist,53323,3
00-63402482,Jill,Tran,1,Michigan,Grand Rapids,Bachelor,5/7/1987,2017-06-18,,Sales,Sales Specialist,73332,2
00-17267644,Mary,Webb,1,Illinois,Chicago,Master,14/10/1988,2020-07-16,,Sales,Sales Specialist,80280,3
00-82580645,Kimberly,Kent,1,Pennsylvania,Philadelphia,Bachelor,11/12/1980,2015-09-26,,Customer Service,Customer Service Representative,69528,3
00-33461307,Beth,Cross,1,New York,New York City,PhD,20/05/1987,2019-02-19,,Sales,Sales Specialist,70407,4
00-79552316,Dale,Sandoval,0,New York,New York City,PhD,23/10/1977,2019-08-24,,Sales,Sales Specialist,73447,4
00-11586450,Nicole,Gordon,1,New York,New York City,Bachelor,5/11/1980,2022-05-30,,Operations,Logistics Coordinator,70196,1
00-23522144,Robert,Lynch,0,Pennsylvania,Philadelphia,Bachelor,31/03/1990,2018-09-26,,Operations,Operations Analyst,53534,2
00-44856447,Kathryn,Hill,1,New York,New York City,PhD,11/12/1986,2017-05-14,,Customer Service,Customer Service Manager,69524,4
00-46159360,Tara,Chavez,0,New York,New York City,High School,5/11/1970,2019-02-21,,Operations,Inventory Specialist,62309,1
00-59113508,Devon,Morrison,0,New York,New York City,Bachelor,7/7/1970,2017-12-11,,IT,Software Developer,94681,3
00-66249702,Kaitlyn,Evans,1,North Carolina,Raleigh,Bachelor,27/06/1994,2022-09-30,,Customer Service,Support Specialist,63796,3
00-63766628,Amy,Edwards,1,New York,New York City,Bachelor,31/12/1984,2017-10-14,,Sales,Sales Representative,71068,1
00-27601200,Selena,Chen,1,Virginia,Richmond,Master,1/1/1990,2024-03-19,,Sales,Sales Consultant,81369,3
00-23404289,Jason,Klein,0,Ohio,Cincinnati,Bachelor,23/11/1989,2022-09-24,,Marketing,Marketing Coordinator,75832,4
00-68011418,Michael,Chambers,1,New York,New York City,Bachelor,11/4/1974,2023-10-03,,Marketing,Marketing Coordinator,80840,4
00-30072000,Debra,Mullen,0,Ohio,Columbus,Bachelor,12/4/1983,2019-07-15,,Operations,Logistics Coordinator,52865,2
00-66575546,Amy,Walsh,1,New York,New York City,High School,21/10/1977,2020-10-02,,Marketing,Content Creator,60882,1
00-81669929,Darrell,Bell,1,New York,New York City,Bachelor,11/11/1974,2022-07-06,,Operations,Inventory Specialist,68579,2
00-43685164,Brandi,Bender,0,New York,New York City,Bachelor,10/10/1989,2020-10-02,,IT,Software Developer,78517,3
00-63472598,Robert,Adkins,1,New York,New York City,Bachelor,4/1/1973,2016-11-22,,Sales,Sales Representative,67488,3
00-38919534,Amanda,Rich,1,North Carolina,Raleigh,PhD,6/3/1985,2023-06-14,,Sales,Sales Specialist,64272,4
00-94538675,Lindsey,Mills,1,New York,New York City,Bachelor,25/02/1993,2016-01-10,,IT,IT Support Specialist,64635,1
00-44865621,Oscar,Brown,0,New York,New York City,High School,13/12/1981,2018-01-22,,HR,Recruiter,58358,1
00-44589898,James,Christensen,0,New York,New York City,Bachelor,11/8/1995,2018-03-04,,IT,Software Developer,84297,2
00-57122567,Tonya,Vega,0,Ohio,Cincinnati,Bachelor,6/2/1989,2023-02-26,,Sales,Sales Representative,70444,4
00-87424000,Mary,Vaughn,0,New York,New York City,Bachelor,10/8/1974,2020-04-24,,Finance,Accountant,55088,4
00-33426205,James,Weaver,0,New York,New York City,Master,26/07/1974,2024-05-19,,Sales,Sales Specialist,80434,4
00-53632879,Lisa,Garcia,1,Michigan,Grand Rapids,Bachelor,1/11/1986,2022-12-04,,Operations,Inventory Specialist,63333,2
00-69985944,Emma,Hoffman,1,New York,New York City,High School,19/06/2000,2023-03-29,,Customer Service,Help Desk Technician,78164,1
00-48456543,Julia,Hoffman,1,Pennsylvania,Allentown,Bachelor,26/11/1978,2019-04-03,,Sales,Sales Representative,66006,2
00-32491607,William,Robles,1,New York,New York City,Bachelor,27/04/1997,2021-09-28,,Customer Service,Support Specialist,64058,3
00-94728082,Keith,Beck,0,New York,New York City,Bachelor,10/6/1994,2021-12-26,,Operations,Logistics Coordinator,52672,2
00-19575640,Patrick,Butler,0,New York,New York City,Bachelor,28/02/1975,2016-11-02,,Operations,Inventory Specialist,61897,2
00-52074850,Theresa,Edwards,0,Illinois,Chicago,Bachelor,26/09/1999,2018-08-03,,Sales,Sales Specialist,61434,3
00-45899536,Brian,Manning,0,New York,New York City,Bachelor,25/04/1979,2021-03-20,,Marketing,Marketing Manager,101036,4
00-69713250,Christine,Norman,0,New York,New York City,Bachelor,4/6/1980,2023-12-04,,Operations,Logistics Coordinator,65914,3
00-88775038,Scott,Perez,0,Illinois,Naperville,Master,1/10/1985,2020-09-03,,Sales,Sales Specialist,81239,4
00-32457056,Janet,Holland,1,New York,New York City,Bachelor,19/12/1983,2017-10-21,,Sales,Sales Representative,76606,3
00-41491128,Brianna,Rodgers,1,New York,New York City,Bachelor,13/08/1998,2022-03-18,,Operations,Inventory Specialist,70437,2
00-20746107,Kimberly,Brandt,1,New York,New York City,Master,17/10/1975,2017-04-25,,IT,System Administrator,93689,4
00-22825003,Shane,Lucero,1,New York,New York City,Bachelor,6/8/1989,2016-01-29,,IT,Software Developer,103913,2
00-17224328,Jacob,Thompson,1,New York,New York City,High School,1/9/1988,2015-07-19,,Customer Service,Customer Service Representative,59096,1
00-21173787,David,Williams,1,New York,New York City,Bachelor,10/10/1985,2016-04-18,,Customer Service,Support Specialist,67270,1
00-21316066,Angela,Anderson,0,New York,New York City,Bachelor,29/01/1992,2022-08-15,,Marketing,SEO Specialist,64768,4
00-40783635,Meghan,Smith,0,New York,New York City,Bachelor,20/12/1967,2017-07-01,,IT,Software Developer,84370,1
00-94084814,Jenna,Moore,0,New York,New York City,Bachelor,20/06/1980,2016-02-29,,Operations,Operations Analyst,85383,3
00-32898616,Sarah,Carlson,0,New York,New York City,Bachelor,8/1/1987,2015-10-28,,Customer Service,Support Specialist,53920,2
00-53647781,Sarah,Gilbert,1,Pennsylvania,Philadelphia,Master,7/10/1975,2023-09-15,,Sales,Sales Specialist,68730,4
00-82555977,Kevin,Tyler,0,New York,New York City,Bachelor,4/11/1999,2024-08-01,,Finance,Accountant,72941,3
00-28134815,Michael,Bowers,1,New York,New York City,Bachelor,29/09/1960,2024-05-03,,IT,Software Developer,101975,3
00-33761455,Alicia,Krueger,1,Pennsylvania,Pittsburgh,Bachelor,11/11/1988,2020-07-21,,Operations,Logistics Coordinator,67768,2
00-95342494,Carlos,Wagner,0,New York,New York City,Bachelor,23/02/1983,2023-06-11,,Sales,Sales Consultant,75170,3
00-95870691,Amy,Powell,0,New York,New York City,Master,22/07/1992,2021-05-16,,Sales,Sales Consultant,97628,3
00-74646194,Jeffrey,Lewis,1,Pennsylvania,Allentown,High School,22/12/1998,2020-05-08,,IT,IT Support Specialist,62462,1
00-51321368,Mark,Carter,0,Illinois,Aurora,High School,15/10/1979,2018-10-20,,Customer Service,Support Specialist,56371,4
00-50744867,Christine,Wells,1,Ohio,Cleveland,Bachelor,28/08/1963,2015-08-07,,Marketing,Marketing Coordinator,67480,3
00-28293937,Madison,Zavala,0,New York,New York City,High School,13/10/1993,2018-01-04,,IT,IT Support Specialist,60209,1
00-11116303,Danny,Reed,0,New York,New York City,PhD,25/08/1980,2022-04-04,,IT,IT Manager,113352,4
00-74030858,Rebecca,Austin,1,New York,New York City,Bachelor,29/08/1986,2017-08-30,,HR,HR Coordinator,70214,4
00-49315407,John,Williams,0,Illinois,Aurora,Master,4/1/1995,2020-12-09,,IT,Software Developer,81001,3
00-60149632,Manuel,Moon,1,New York,New York City,Master,3/2/1974,2017-02-14,,IT,Software Developer,92889,3
00-62982727,Paul,Fernandez,1,Pennsylvania,Pittsburgh,Bachelor,10/1/1981,2017-04-20,,Sales,Sales Representative,60185,4
00-96703417,Angel,Black,1,New York,New York City,PhD,20/03/1993,2018-10-27,,Finance,Financial Analyst,65542,4
00-45296615,Nicholas,Lang,1,New York,New York City,Bachelor,15/03/1972,2016-06-22,,Operations,Inventory Specialist,68643,2
00-79338228,Tommy,Phillips,1,New York,New York City,Bachelor,8/12/1973,2022-09-11,,Operations,Logistics Coordinator,66618,2
00-46489118,James,Palmer,0,Illinois,Chicago,Bachelor,27/07/1971,2017-02-07,,Sales,Sales Representative,59002,3
00-46080681,Gary,Huber,1,Virginia,Virginia Beach,High School,11/9/1995,2019-07-28,,Operations,Inventory Specialist,62971,1
00-28337367,Amanda,Sims,1,New York,New York City,Bachelor,25/07/1983,2017-03-23,,Finance,Accountant,66685,4
00-92910238,Ellen,Ayala,1,West Virginia,Huntington,Bachelor,22/10/1982,2019-12-02,,Customer Service,Support Specialist,74289,2
00-76034587,Gina,Houston,1,New York,New York City,Bachelor,27/10/1971,2017-03-21,,Finance,Accounts Payable Specialist,66491,3
00-23726915,Kimberly,Lucas,1,New York,New York City,Master,19/07/1979,2017-01-29,,Sales,Sales Specialist,67329,3
00-68843284,Julie,Hernandez,0,New York,New York City,Bachelor,30/06/1990,2022-06-28,,Customer Service,Support Specialist,61017,1
00-30224423,Jennifer,Johnson,0,New York,New York City,Bachelor,22/11/1990,2015-01-29,,Sales,Sales Consultant,80586,2
00-66404064,Brian,Bauer,1,North Carolina,Raleigh,Bachelor,11/5/1961,2018-08-05,,Sales,Sales Representative,69655,4
00-72234675,Chad,Underwood,1,New York,New York City,Bachelor,22/03/1974,2022-12-20,,Customer Service,Customer Service Representative,69518,3
00-20767361,Jonathan,Hughes,1,New York,New York City,Master,21/02/1975,2023-09-02,,Operations,Operations Analyst,60992,4
00-45769504,Richard,Stewart,1,North Carolina,Charlotte,Bachelor,28/11/1965,2023-06-01,,Operations,Logistics Coordinator,62029,2
00-73102032,Emily,Nichols,1,Pennsylvania,Philadelphia,Bachelor,2/10/1996,2017-09-07,,IT,Software Developer,110078,2
00-61214452,Jennifer,Brown,1,New York,New York City,High School,28/12/1983,2023-10-17,,Customer Service,Support Specialist,65758,4
00-43415162,Brenda,Haynes,0,Ohio,Cleveland,High School,10/6/1963,2018-01-29,,HR,Recruiter,61380,4
00-14497675,Michael,Shaw,1,New York,New York City,PhD,19/06/1994,2017-04-23,,Finance,Financial Analyst,68943,4
00-22611138,Kristin,Turner,1,New York,New York City,High School,13/02/1983,2020-02-03,,Marketing,Content Creator,58245,1
00-62227199,Juan,Mcintosh,1,New York,New York City,Bachelor,30/09/1977,2022-05-29,,Sales,Sales Specialist,77211,3
00-31288466,Randall,Guerrero,1,New York,New York City,PhD,20/12/1962,2021-07-04,,Finance,Financial Analyst,74062,4
00-83763371,Eric,Robinson,1,Ohio,Cleveland,Master,6/4/1982,2020-10-17,,Finance,Financial Analyst,99442,3
00-95700705,Peter,Salinas,1,Ohio,Cincinnati,Bachelor,5/9/1985,2017-07-31,,Operations,Operations Analyst,85827,3
00-99482259,Kenneth,Walters,0,New York,New York City,Bachelor,20/05/1971,2017-04-26,,Operations,Logistics Coordinator,65195,4
00-94947603,Erica,Sloan,0,New York,New York City,High School,6/11/1969,2019-11-05,,Operations,Inventory Specialist,56747,1
00-47057520,Michelle,Wong,1,New York,New York City,Bachelor,7/11/1989,2020-01-05,,Operations,Inventory Specialist,67856,2
00-42626898,Angela,Peters,1,Pennsylvania,Pittsburgh,Bachelor,23/12/1984,2015-02-17,,Customer Service,Help Desk Technician,91519,4
00-73789750,Bobby,Armstrong,1,Pennsylvania,Allentown,PhD,29/11/1989,2022-06-03,,Sales,Sales Manager,101111,4
00-22009789,Amanda,Arroyo,1,New York,New York City,Bachelor,14/01/1976,2017-04-29,,Sales,Sales Representative,84623,3
00-93033107,Jason,Figueroa,0,Michigan,Warren,Bachelor,27/04/1977,2018-10-09,,Sales,Sales Consultant,69446,3
00-18022882,Maurice,Gutierrez,1,Illinois,Chicago,High School,13/08/1963,2018-09-08,,Operations,Inventory Specialist,68482,1
00-81988124,Melissa,Thomas,1,New York,New York City,Bachelor,26/05/1995,2023-03-13,,Sales,Sales Representative,70587,3
00-41229060,Jeffrey,Davenport,0,New York,New York City,Bachelor,5/4/2000,2018-03-17,,Operations,Logistics Coordinator,54509,3
00-96522918,Danny,Lambert,1,New York,New York City,Bachelor,29/04/1986,2022-08-09,,Customer Service,Help Desk Technician,61714,2
00-35899364,Melissa,York,0,New York,New York City,Bachelor,22/03/1994,2015-12-29,,Operations,Logistics Coordinator,65068,2
00-28083446,Veronica,Dunn,1,New York,New York City,High School,11/8/1997,2017-09-08,,IT,IT Support Specialist,59784,1
00-68720256,Andrea,Roberts,0,North Carolina,Charlotte,Bachelor,27/05/1995,2020-01-27,,Sales,Sales Representative,66707,3
00-75779034,John,Gonzalez,0,New York,New York City,High School,22/07/1982,2017-08-14,,Customer Service,Support Specialist,61130,4
00-56662763,Tony,Rivera,1,Pennsylvania,Philadelphia,Bachelor,27/03/1999,2018-02-19,,Marketing,Marketing Coordinator,60148,2
00-90353461,Emily,Young,0,New York,New York City,High School,11/12/1973,2024-04-20,,Operations,Inventory Specialist,59927,1
00-19244458,Christine,Mccullough,0,New York,New York City,Bachelor,4/10/1977,2020-05-03,,Customer Service,Support Specialist,55334,3
00-45346140,Todd,Murphy,1,Illinois,Naperville,Bachelor,12/8/1988,2020-09-13,,IT,System Administrator,75212,2
00-95634408,Kevin,Silva,1,New York,New York City,High School,25/07/1994,2020-08-07,,Marketing,Content Creator,64110,1
00-12512536,Ashley,Aguirre,1,Virginia,Virginia Beach,Master,9/5/1999,2021-06-16,,Operations,Operations Analyst,54467,3
00-93241474,Gary,Edwards,1,New York,New York City,PhD,10/4/1989,2017-11-02,,IT,IT Manager,117952,4
00-98354109,Jeffrey,Singh,0,New York,New York City,High School,20/11/1981,2024-06-18,,Marketing,SEO Specialist,62091,1
00-80339453,Joshua,Ward,0,Michigan,Detroit,Bachelor,2/8/1981,2022-09-21,,Customer Service,Help Desk Technician,54598,2
00-92280734,Jessica,Humphrey,0,New York,New York City,High School,27/11/1983,2017-06-29,,Customer Service,Help Desk Technician,77258,1
00-53221337,Sean,Hampton,1,New York,New York City,Bachelor,13/03/1990,2016-07-08,,Operations,Inventory Specialist,64804,3
00-18949617,Andrea,Thompson,0,Michigan,Detroit,Master,21/10/1978,2015-08-24,,Operations,Operations Analyst,81909,4
